product number,color,SIZE,QTY,,,
D4467A,Red,6,1,,,
D4467A,Red,8,1,,,
D4467A,Red,10,2,,,
D4467A,Red,12,2,,,
D4467A,Red,14,2,,,
D4467A,Red,16,1,,,
,,,,,,
D4467AA,black,0,0,,,
D4467AA,black,2,0,,,
D4467AA,black,4,1,,,
D4467AA,black,6,2,,,
D4467AA,black,8,3,,,
D4467AA,black,10,5,,,
D4467AA,black,12,0,,,
D4467AA,black,14,2,,,
D4467AA,black,16,2,,,
,,,,,,
D4468A,Blue,0,0,,,
D4468A,Blue,2,0,,,
D4468A,Blue,4,1,,,
D4468A,Blue,6,0,,,
D4468A,Blue,8,0,,,
D4468A,Blue,10,0,,,
D4468A,Blue,12,0,,,
D4468A,Blue,14,0,,,
D4468A,Blue,16,1,,,
,,,,,,
D4468A,Green,0,0,,,
D4468A,Green,2,0,,,
D4468A,Green,4,0,,,
D4468A,Green,6,2,,,
D4468A,Green,8,2,,,
D4468A,Green,10,0,,,
D4468A,Green,12,1,,,
D4468A,Green,14,1,,,
D4468A,Green,16,2,,,
,,,,,,
D4469A,Charcoal,0,3,,,
D4469A,Charcoal,2,6,,,
D4469A,Charcoal,4,3,,,
D4469A,Charcoal,6,5,,,
D4469A,Charcoal,8,0,,,
D4469A,Charcoal,10,0,,,
D4469A,Charcoal,12,0,,,
D4469A,Charcoal,14,0,,,
D4469A,Charcoal,16,0,,,
,,,,,,
D4470A,black,0,3,,,
D4470A,black,2,8,,,
D4470A,black,4,8,,,
D4470A,black,6,12,,,
D4470A,black,8,7,,,
D4470A,black,10,7,,,
D4470A,black,12,4,,,
D4470A,black,14,2,,,
D4470A,black,16,0,,,
,,,,,,
D4471A,Navy,0,0,,,
D4471A,Navy,2,1,,,
D4471A,Navy,4,2,,,
D4471A,Navy,6,3,,,
D4471A,Navy,8,0,,,
D4471A,Navy,10,0,,,
D4471A,Navy,12,0,,,
D4471A,Navy,14,0,,,
D4471A,Navy,16,0,,,
,,,,,,
D4481A,Black,0,0,,,
D4481A,Black,2,0,,,
D4481A,Black,4,3,,,
D4481A,Black,6,0,,,
D4481A,Black,8,1,,,
