Product Name,Product Number,Category Name,SubCategory Name,Designer,Product Date,Catalogue Price,Retail Price,Wholesale Price,Product Description,Primary Image Color,Colors,Styles,Events,New Arrival,Clearance,Pre Order,Unpublish,Materials,Trends
D5897L,D5897L,Womens Apparel,Evening Dresses,Basix Black Label,2012-01-20,895,0,445,Evening Dress,CHAMPAGNE,CHAMPAGNE,NUDE-SEQUINED-SLEEVELESS-TULLE,,yes,,,,,
D5181L,D5181L,Womens Apparel,Evening Dresses,Basix Black Label,1969-12-31,265,675,120,Evening Dress,SILVER,SILVER,CRYSTAL-PLEATED,,,yes,,,,
D5150L,D5150L,Womens Apparel,Evening Dresses,Basix Black Label,2012-01-20,845,0,445,Evening Dress,SILVER,SILVER,SLEEVELESS-STRAPLESS,,,,,Y,,
D5702L,D5702L,Womens Apparel,Evening Dresses,Basix Black Label,2012-01-20,895,0,445,Evening Dress,BRONZE,BRONZE,SLEEVELESS,,,,,,,
Strapless Evening Gown,D5936L,Womens Apparel,Evening Dresses,Basix Black Label,,795,0,395,Strapless evening dress with sequins ,GOLD,GOLD,BEADED-SEQUINED-SLEEVELESS-STRAPLESS,,,,,,,
D5974LS,D5974LS,Womens Apparel,Evening Dresses,Basix Black Label,,755,0,375,Long Sleeve Sequin Evening Dress,NAVY,NAVY,LONG SLEEVE-SEQUINED,,,,,,,
D5983L,D5983L,Womens Apparel,Evening Dresses,Basix Black Label,,795,0,395,Long dress,BLACK,BLACK,LONG SLEEVE-SEQUINED,,,,,,,
D5974L,D5974L,Womens Apparel,Evening Dresses,Basix Black Label,,655,0,325,Long dress,WINE,NAVY-WINE-SILVER-CHAMPAGNE-BLACK-PURPLE,SEQUINED-SLEEVELESS,,,,,,,
D5877L,D5877L,Womens Apparel,Evening Dresses,Basix Black Label,1969-12-31,1800,0,795,Evening Dress ,CHAMPAGNE,CHAMPAGNE,BEADED-HALTER-SEQUINED-TULLE-V NECK,,yes,,,,,
Empire Waist Gown,D5831L,Womens Apparel,Evening Dresses,Basix Black Label,,495,0,245,Empire Waist one Shoulder Evening  dress,BROWN,BLACK-BROWN,1 SHOULDER-CRYSTAL-EMPIRE WAIST-FLARE-PLEATED,,,,,,,
D5870L,D5870L,Womens Apparel,Evening Dresses,Basix Black Label,2012-01-20,795,0,395,Evening Dress,CHARCOAL,CHARCOAL-GREEN,SEQUINED-SLEEVELESS-V NECK,,yes,,,,,
D5798L,D5798L,Womens Apparel,Evening Dresses,Basix Black Label,1969-12-31,895,0,445,Long dress,BLACK,BLACK,SLEEVELESS,,,,,,,
