Product Name,Product Number,Category Name,SubCategory Name,Designer,Product Date,Catalogue Price,Retail Price,Wholesale Price,Product Description,Primary Image Color,Colors,Styles,Events,New Arrival,Clearance,Pre Order,Unpublish,Materials,Trends
D6057A     ,D6057A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,650,0,325,D6057A,NUDE CHARCOAL,NUDE CHARCOAL,,,no,no,,,,
D6061A,D6061A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,790,0,395,D6061A,NUDE SILVER,NUDE SILVER,,,no,no,,,,
D6064A,D6064A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,790,0,395,D6064A,IVORY,IVORY,,,no,no,,,,
D6067A,D6067A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,490,0,245,D6067A,BLACK,BLACK,,,no,no,,,,
D6073A,D6073A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,490,0,245,D6073A,BLACK,BLACK,,,no,no,,,,
D6074A,D6074A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,490,0,245,D6074A,BLACK,BLACK,,,no,no,,,,
D6076A,D6076A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,490,0,245,D6076A,NAVY,NAVY-SILVER,,,no,no,,,,
D6081A,D6081A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,450,0,225,D6081A,BLACK,BLACK,,,no,no,,,,
D6090A,D6090A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,490,0,245,D6090A,BLACK,BLACK,,,no,no,,,,
D6092A,D6092A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,650,0,325,D6092A,SILVER,SILVER,,,no,no,,,,
D6093A,D6093A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,490,0,245,D6093A,BLACK SILVER,BLACK SILVER,,,no,no,,,,
D6095A,D6095A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,690,0,345,D6095A,SILVER,SILVER,,,no,no,,,,
D6105A,D6105A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,590,0,295,D6105A,MULTI,MULTI,,,no,no,,,,
D6108A,D6108A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,390,0,195,D6108A,BLACK,BLACK,,,no,no,,,,
D6147A,D6147A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,450,0,225,D6147A,BLACK,BLACK,,,no,no,,,,
D6068A,D6068A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,590,0,295,D6068A,CHAMPAGNE,CHAMPAGNE,,,no,no,,,,
D5986A,D5986A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,490,0,245,D5986A,BLACK,BLACK,,,no,no,,,,
D6018A,D6018A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,590,0,295,D6018A,NAVY,NAVY,,,no,no,,,,
D6028A,D6028A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,690,0,345,D6028A,RED,RED,,,no,no,,,,
D6106A,D6106A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,330,0,165,D6106A,BLACK,BLACK,,,no,no,,,,
D6131A,D6131A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,490,0,245,D6131A,CHAMPAGNE,CHAMPAGNE,,,no,no,,,,
